comment,username,timestamp
So sad what America has turned into,@jason-hh6hu,8/19/2024 11:58
Who Shot J R,@gregoryfaulk3382,8/19/2024 11:58
Why were they all cheering after he got shot and before he raised his fists to say fight fight?,@fo6rf7rl4u,8/19/2024 11:58
I have not yet seen proof of a bullet .,@stephanieames66,8/19/2024 11:58
what he said: Let me get my shoes,@Mushy_1,8/19/2024 11:58
"look at his fingers when he grabs his ear.....no blood!  I can't believe people believe this,we all know they don't",@thankyou-yt4zv,8/19/2024 11:58
"Lincoln, Regan, James Garfield,Trump, William McKinley all republican presidents that were assassinated or attempted to. And the Left says we as the right are the violent ones…Wake Up!!!… JFK is the only democrat and that’s a fishy one, may have been an inside job.",@retrojmp23,8/19/2024 11:58
The heck if he have not shaked his head aside in the the second half of the first second on the video ,@egs81218,9/2/2024 11:58
"So where did the bullet go after hitting trumps ear with all the people standing behind him,you mean a ear stopped the bullet",@DonHedger,9/2/2024 11:58
He wasn't shot in the ear.,@Pavle2301,9/2/2024 11:58
He said he was hit in the earlobes.  As a nurse cartilage does not grow back!!!  That is not how you dress an ear wound.  Where is the press briefing like anyone one else would have??  Why the shady doctor again the pill pusher writing the note shady.  Funny how Hulk hogan was just with trump long enough to show him how to fake an injury with fake blood capsule.  Why did secret service let him be exposed long enough for a photo op???  Come on people wake up this is crazy.  He would have had HIS EAR BLOWN OFF,@bonniescanlan8772,9/2/2024 11:58
Why is everybody clapping,@BmwFamily-b8l,9/2/2024 11:58
Find live coverage here: https://www.fox5ny.com/news/trump-rally-possible-shots-fired,,8/3/2024 11:38
Laughs,@jackx659,9/3/2024 8:38
'Wait wait wait' said Trump to the Secret Service.  He knew what was coming.,@TheSmokingDen,9/3/2024 6:38
Trump appears to be shot? Seriously? He was shot,@aakkoin,9/3/2024 3:38
In 20 years this video is gonna go viral.,@exthers6389,9/3/2024 1:38
"Of course he is safe, he staged the whole thing ",,9/3/2024 1:38
por fin un puto momento feliz en la historia,@GRAN_EME,9/2/2024 22:38
Đây là một màn kịch do Trump tạo ra để gây hiệu ứng thật ngu ngốc khi tin anh chàng láo cá này,@saigonvietnam3664,9/2/2024 21:38
"Bro have bad aim


https://youtu.be/fYfvSspaJtk?si=5QFlohub3HlFIC9l",@muhammadfaiq8762,9/2/2024 20:38
Are we sure he would've been dead medical technology is way better than it was with Kennedy,@aaronsmall1394,9/2/2024 13:38
This video is titled 'appears to be shot'  Local Fox's and cable Fox's a whole different animal that's for sure.,@shawnmichael777.,9/2/2024 12:38
"Does Anybody notice 
That Girl With The Glasses 
With The white t Shirt Right Next to 
Donald trump right arm She immediately Took a video strange",@jennifercroes7113,9/2/2024 11:38
Stage mamaged,@dominicmaina9746,9/2/2024 11:38
Who's here 2024?,@alexnobrasil3062,9/2/2024 11:38
He wasn't even shot . Was all a setup. He is a coward and a moron ,@clarafearey5900,9/2/2024 11:38
Trump is so strong to get through things for America I’m team trump. Don’t have to to be on my side,@Steven-yw6hj,9/1/2024 11:38
Almost got shot if shorted R. I. P Trump,@Kanzura-PH,8/31/2024 11:38
Damn….Missed,@Kbp-16w,8/31/2024 11:38
Damn can u guys see that this was literally staged from the beginning I am a detective and you trying to say that they didn’t caught him sneaking the weapon in you can literally see something aint right here and the  way his security reacts there is something definately wrong trump  staged all this it was to gain more votes I worked with trump for 20 years so I do know his mind sets his staged all of this I bet hi even pay the families do you see in the videos how they even blurred the dude face thrump is a manipulator and he’s a dude that thinks that he is still young but his not why can he just let the new generations take over and rest himself,@Toallflatearthers,8/31/2024 11:38
STAGED!,@chucksoditta156,8/31/2024 11:38
Trump literally moved his head a few centimeters right before the shots were fired. That tiny movement is what saved his life. God bless him,@ajunlimited,9/2/2024 11:48
I saw the blood at the end,@JrTvLv,9/2/2024 11:48
I'm still tripping out on this! Trump 2024,@bobbiedeleon4845,9/2/2024 11:48
it was sad,@ThePeytatoChip,9/1/2024 11:48
"I’m not his supporter, but I strongly criticize this incident.
We only want peaceful discussion!",@user-vk6ij6ry7s,9/1/2024 11:48
Trump’s Chart:,@ryan460,9/1/2024 11:48
Very funny ,@Mahmoudmagdyphysics,9/1/2024 11:48
"I am an atheist. I don't believe in the existence of God. There is insufficient evidence or rational justification to support the belief in any gods or supernatural entities. I rely on reason, logic, and empirical evidence to form my worldview and do not find compelling evidence or arguments to support the existence of god.The universe is governed by natural laws and forces, rather than moral, spiritual, or supernatural ones. As an atheist, I reject the idea of God. I emphasize the social and empirical nature of inquiry and prioritize scientific solutions to intellectual problems. There is an intrinsic intellectual conflict between faith and science, and that it inevitably leads to hostility..",@snehashispanda4808,9/1/2024 11:48
Mr Aura himself.,@Iheartredfourty,8/31/2024 11:48
Nothing can stop The Donald. Even after being nearly killed he was still thinking of his country and his people. Remarkable man. Trump 2024. 🇺🇸+🇬🇧=️,@rockinron5113,8/31/2024 11:48
Its all fake you morons,@timgraffius4419,8/31/2024 11:48
I wish i scripted fake news,@timgraffius4419,8/31/2024 11:48
"Folks in the stands behind Don are cool. calm and collected.  The normal reaction when shots are fired into a crowd is pure panic, yet they are all just looking around and enjoying the show.  FBI says it was either a bullet or bullet frag, but that was no frag, as in ricochet.  It was one or two blood caps in his ear.  Watch him push in against the ear after the first shot.  Completely staged by the master showman but it's impossible to make it without question, of which there are many.",@eventtrading,8/30/2024 11:48
"was it on the 2nd or 3rd click, err fake gunshot before everyone was told ""down: then they all casually ""took a knee"" and no screaming or commotion until then, nobody ran in panic? dude casually strolls past secret service, th e same way you think people stroll across the border, then stay down to the split second trump is starring his direction and pointing his way and as trump flinches his head for a second, pops up and fires 3 shots? this assassination attempt has hoax written all over it",@peety1969,8/30/2024 11:48
0:38 shots start,@MarleyFowler-mr3qf,8/29/2024 11:48
YouTube is STIIIIILLLLL shadowbanning this video! Weeks later and no change to the view count. Trump just went on Theo Vons podcast a few days ago nd THAT already has more views. It’s so blatant it’s crazy.,@mystriddlery,8/29/2024 11:48
"We were THIS close to civil war. Ever since Trump was elected for his first term, the media and the Democrat tried to invalidate his victory with all kind of nonsense, including this laughable Russian meddling BS that NO ONE has so far explained to me, much like crypto. In the race with Biden, he was leading and then all of a sudden Biden pull ahead with supposedly mail in votes. It is well known that if the situation was switched, Trump's victory with mailed in votes would be questioned. Now they tried to get him off the ballot with all these lawsuits and charge that conveniently pops up NOW. All of all sudden THAT mattered. Not a peep before he went into political office. If Trump was killed, his supporters would've torn down the Capital. Which I may add, was EXACTLY what the Founding Fathers intended and hence our second amendment. Deny it if you want to, they set it up so America WOULD NEVER BE UNDER THE RULE OF A TYRANNICAL GOVERNMENT BECAUSE THE PEOPLE CAN FIGHT BACK.",@kenlau457,8/29/2024 11:48
I wonder what he was gonna say after “take a look at what happened”,@takemetothelakes1,8/29/2024 11:48
Putin is the master of Donald Trump.,@Slms449,8/28/2024 11:48
Mmmmmmmm,@HauratTamim,8/28/2024 11:48
Americans are so STVPID by always blaming Trump for everything bad happened,@Minji_Hanni_Dani_Haerin_Hyein,8/28/2024 11:48
"Crazy, crazy, crazy times!",@mikaeljohansson1690,8/27/2024 11:48
" Chúng ta sống là vì sự phát triển của con người.Nên cần Phân tích cơ địa để thay thế cấy ghép nhằm kích hoạt những bộ phận yếu trong cơ thể và gã cưới chéo để cả thể giới là một gia đình.Lúc đó con người sẽ rất thông minh..ko còn tiền bạc,chiến tranh biên giới,tôn giáo và Đảng phái Chính Trị vì cả thế giới đã là một Gia Đình.Ko phải như hiện tại bảo vệ và phát triển lại đi tập trung phát triển vũ khí những thứ giết người và ko liên quan gì Con người(vật ngoài thân).Đi ngược lại truyền thống của Loài Người sẽ dẫn đến ngày tận thế khi có một loại vũ khí vô hình như sóng ĐT bây giờ khi nó phát ra tần số sóng sẽ làm tê liệt Trung tâm Thần Kinh dẫn đến cái chết ngay lập tức.Amen",@user-fo6lm7ge5t,8/26/2024 11:48
Fox Propaganda Network. Rupert Murdoch had to pay out €800 to Dominion for lying about 2020 election. Hopefully Murdoch gets sued again for all the lies they spew on FOX and allow Trump to lie continuously on air with no fact checking.,@pajoemccracken,8/25/2024 11:48
"I have some stuff to say
- Someone DIED in this because they were shot IN THE HEAD WHILE PROTECTING HIS FAMILY!!!
-Those that are saying democrats did this, Thomas M. Crooks was a republican
-No matter who you vote for, VIOLENCE IS NEVER OKAY!",@SamimSayedYaqubi,8/25/2024 11:48
,@felipeneves7880,8/25/2024 11:48
Make America Great Again - Donald J. Trump,@Irina-ft1rl,8/24/2024 11:48
Thank God we didn't lost Trump than it would've been mega ultra massive chaos,@Irina-ft1rl,8/24/2024 11:48
shots by. mr beast ,@ronaldo_balls_shotter,8/23/2024 11:48
"This is what terrorists do to their opponents.
Absolutely crazy.",@tripathiamit2000,8/23/2024 11:48
Biden kept calling him a threat to democracy and a dictator then he back peddles after this.  He and Kamala are jackasses.,@slider903,8/22/2024 11:48
Kawawang Kawawa Si Donald J. Trump ,@elenitareyes2497,8/22/2024 11:48
这下真成天选之子了，大难不死必成总统,@Cathay_Dragon,8/22/2024 11:48
The day America almost became a better place. Shame,@Dannymart_88445,8/21/2024 11:48
L TRUMP,@BowserJrBJ,8/20/2024 11:48
She saying we’re looking at president trump?,@GilesHartop,8/20/2024 11:48
"Donald Trump claimed that the Presidential Medal of Freedom he awarded to a Republican billionaire is “much better” than the Medal of Honor awarded to service members, because those recipients are either injured or dead compared to his “healthy, beautiful” donor.
 Trump seemingly doubled down on his comments on Monday. Fox News, meanwhile, still has not aired his comments a single time — despite spending years ginning up nonscandals about Democrats supposedly disrespecting the troops while simultaneously defending or downplaying Trump’s abysmal record of denigrating veterans.",@morecomplex5233,8/20/2024 11:48
Don’t ever forget what they tried to do to “democracy”,@TjayfrmdaA,8/20/2024 11:48
Ha ha ha ha ,@AGUSTINRAMIREZP-vh7mz,8/20/2024 11:48
Make USA 🇺🇸 great again,@kdexter2690,8/20/2024 11:48
MACHETE,@Shiva-Randhawa7573,8/20/2024 11:48
Something told him to look left,@troybeaulieu7579,8/20/2024 11:48
Trump 2024,@theblissfulgiantsfan5627,8/20/2024 11:48
YOUTUBE IS STILL SHADOWBANNING THIS VIDEO,@mystriddlery,8/20/2024 11:48
XXXTENTACION,@ReiKawaki,8/20/2024 11:48
What Shot,@gregoryfaulk3382,8/20/2024 11:48
My boy ,@peazzySo68,8/20/2024 11:48
Free Palestine 🇵🇸,@gqrepublic,8/20/2024 11:48
1:56 Trump’s aura is to much at this point.,@Nach_oh,8/20/2024 11:48
"3 buildings and didn't bother putting security on all of them
They think us idiots of course they planned for it",@hassanawdi3793,8/20/2024 11:48
GOSH!!!! HE IS IN PAIN,@Butchay-Ancient,8/20/2024 11:48
America forever 🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸,@eherbert89,8/20/2024 11:48
"0:39 can someone explain why there is no blood on his palm when he removed his hand from the ear immediately after getting shot? 

Watch in slow motion.",@ZionismFailure,8/20/2024 11:48
So brave,@KooperHughes,8/20/2024 11:48
